Omr책de,Transportmiddel,Mindre end fire overnatninger,Mindst fire overnatninger
Danmark og udlandet i alt,Bil,6743435,3036999
Danmark og udlandet i alt,Tog,1356664,335193
Danmark og udlandet i alt,Skib,254546,209670
Danmark og udlandet i alt,Fly,508316,2879415
Danmark og udlandet i alt,Bus,481791,248459
Danmark og udlandet i alt,Sejlb책d,0,0
Danmark og udlandet i alt,Cykel,0,0
Danmark og udlandet i alt,Andre transportmidler,95146,26186
Danmark,Bil,5939884,2008508
Danmark,Tog,1232543,219461
Danmark,Skib,172719,112647
Danmark,Fly,78403,29334
Danmark,Bus,411377,82712
Danmark,Sejlb책d,0,0
Danmark,Cykel,0,0
Danmark,Andre transportmidler,92893,13786
Verden udenfor Danmark,Bil,803552,1028491
Verden udenfor Danmark,Tog,124121,115732
Verden udenfor Danmark,Skib,81827,97023
Verden udenfor Danmark,Fly,429913,2850081
Verden udenfor Danmark,Bus,70413,165747
Verden udenfor Danmark,Sejlb책d,0,0
Verden udenfor Danmark,Cykel,0,0
Verden udenfor Danmark,Andre transportmidler,2253,12400
